# id	pattern hex	text hex	start	end	anchor	encoding	posix	longest	literal	never newline	dot newline	never capture	case sensitive	perl classes	word boundary	one line	groups
default_unanchored	616263	7a6162637a	0	5	unanchored	utf8	false	false	false	false	false	false	true	false	false	false	1
anchor_start	616263	6162637a	0	4	start	utf8	false	false	false	false	false	false	true	false	false	false	1
anchor_both_no_match	616263	6162637a	0	4	both	utf8	false	false	false	false	false	false	true	false	false	false	1
posix_rejects_reluctant	612b3f	61	0	1	both	utf8	true	false	false	false	false	false	true	false	false	false	1
longest_alternation	617c6162	6162	0	2	unanchored	utf8	false	true	false	false	false	false	true	false	false	false	1
literal_metacharacter	612e62	612e62	0	3	both	utf8	false	false	true	false	false	false	true	false	false	false	1
never_newline_class	5b5e615d	0a	0	1	both	utf8	false	false	false	true	false	false	true	false	false	false	1
dot_matches_newline	2e	0a	0	1	both	utf8	false	false	false	false	true	false	true	false	false	false	1
never_capture	286129286229	6162	0	2	both	utf8	false	false	false	false	false	true	true	false	false	false	3
case_insensitive_utf8	c3a9	c389	0	2	both	utf8	false	false	false	false	false	false	false	false	false	false	1
perl_classes_posix	5c642b	3132	0	2	both	utf8	true	false	false	false	false	false	true	true	false	false	1
perl_classes_disabled_posix	5c642b	3132	0	2	both	utf8	true	false	false	false	false	false	true	false	false	false	1
word_boundary_posix	5c626361745c62	78206361742079	0	7	unanchored	utf8	true	false	false	false	false	false	true	false	true	false	1
word_boundary_disabled_posix	5c626361745c62	78206361742079	0	7	unanchored	utf8	true	false	false	false	false	false	true	false	false	false	1
multiline_posix	5e6224	610a620a63	0	5	unanchored	utf8	true	false	false	false	false	false	true	false	false	false	1
one_line_posix	5e6224	610a620a63	0	5	unanchored	utf8	true	false	false	false	false	false	true	false	false	true	1
latin1_encoding	2e	ff	0	1	both	latin1	false	false	false	false	false	false	true	false	false	false	1
case_insensitive_latin1	e9	c9	0	1	both	latin1	false	false	false	false	false	false	false	false	false	false	1
never_newline_overrides_dot_newline	2e	0a	0	1	both	utf8	false	false	false	true	true	false	true	false	false	false	1
literal_case_insensitive	412e42	612e62	0	3	both	utf8	false	false	true	false	false	false	false	false	false	false	1
posix_perl_classes_word_boundary	5c625c642b5c62	782031322079	0	6	unanchored	utf8	true	false	false	false	false	false	true	true	true	false	2
posix_longest_alternation	617c6162	6162	0	2	unanchored	utf8	true	true	false	false	false	false	true	false	false	false	1
capture_boundaries	286129286229	7a61627a	1	3	both	utf8	false	false	false	false	false	false	true	false	false	false	3
full_class_space_utf8_never0_dot0	61285b5c735c535d2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_space_utf8_never0_dot1	61285b5c735c535d2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_space_utf8_never1_dot0	61285b5c735c535d2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_space_utf8_never1_dot1	61285b5c735c535d2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_space_latin1_never0_dot0	61285b5c735c535d2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_space_latin1_never0_dot1	61285b5c735c535d2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
full_class_space_latin1_never1_dot0	61285b5c735c535d2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_space_latin1_never1_dot1	61285b5c735c535d2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_digit_utf8_never0_dot0	61285b5c645c445d2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_digit_utf8_never0_dot1	61285b5c645c445d2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_digit_utf8_never1_dot0	61285b5c645c445d2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_digit_utf8_never1_dot1	61285b5c645c445d2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_digit_latin1_never0_dot0	61285b5c645c445d2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_digit_latin1_never0_dot1	61285b5c645c445d2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
full_class_digit_latin1_never1_dot0	61285b5c645c445d2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_digit_latin1_never1_dot1	61285b5c645c445d2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_word_utf8_never0_dot0	61285b5c775c575d2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_word_utf8_never0_dot1	61285b5c775c575d2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_word_utf8_never1_dot0	61285b5c775c575d2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_word_utf8_never1_dot1	61285b5c775c575d2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_word_latin1_never0_dot0	61285b5c775c575d2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_word_latin1_never0_dot1	61285b5c775c575d2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
full_class_word_latin1_never1_dot0	61285b5c775c575d2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_word_latin1_never1_dot1	61285b5c775c575d2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_empty_space_utf8_never0_dot0	61285b5e5c735c535d2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_empty_space_utf8_never0_dot1	61285b5e5c735c535d2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_empty_space_utf8_never1_dot0	61285b5e5c735c535d2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_empty_space_utf8_never1_dot1	61285b5e5c735c535d2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_empty_space_latin1_never0_dot0	61285b5e5c735c535d2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_empty_space_latin1_never0_dot1	61285b5e5c735c535d2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
full_class_empty_space_latin1_never1_dot0	61285b5e5c735c535d2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_empty_space_latin1_never1_dot1	61285b5e5c735c535d2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_empty_digit_utf8_never0_dot0	61285b5e5c645c445d2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_empty_digit_utf8_never0_dot1	61285b5e5c645c445d2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_empty_digit_utf8_never1_dot0	61285b5e5c645c445d2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_empty_digit_utf8_never1_dot1	61285b5e5c645c445d2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_empty_digit_latin1_never0_dot0	61285b5e5c645c445d2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_empty_digit_latin1_never0_dot1	61285b5e5c645c445d2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
full_class_empty_digit_latin1_never1_dot0	61285b5e5c645c445d2962	610a62	0	3	both	latin1	false	false	false	true	false	false	true	false	false	false	2
full_class_empty_digit_latin1_never1_dot1	61285b5e5c645c445d2962	610a62	0	3	both	latin1	false	false	false	true	true	false	true	false	false	false	2
full_class_empty_word_utf8_never0_dot0	61285b5e5c775c575d2962	610a62	0	3	both	utf8	false	false	false	false	false	false	true	false	false	false	2
full_class_empty_word_utf8_never0_dot1	61285b5e5c775c575d2962	610a62	0	3	both	utf8	false	false	false	false	true	false	true	false	false	false	2
full_class_empty_word_utf8_never1_dot0	61285b5e5c775c575d2962	610a62	0	3	both	utf8	false	false	false	true	false	false	true	false	false	false	2
full_class_empty_word_utf8_never1_dot1	61285b5e5c775c575d2962	610a62	0	3	both	utf8	false	false	false	true	true	false	true	false	false	false	2
full_class_empty_word_latin1_never0_dot0	61285b5e5c775c575d2962	610a62	0	3	both	latin1	false	false	false	false	false	false	true	false	false	false	2
full_class_empty_word_latin1_never0_dot1	61285b5e5c775c575d2962	610a62	0	3	both	latin1	false	false	false	false	true	false	true	false	false	false	2
